Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Rodions Kurucs,4,22,BRK,5,0,3.2,0.2,0.6,0.33299999999999996,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6,2.0,0.364,0.706,0.11800000000000001,3.7,13.1,8.4,4.8,4.1,3.0,28.1,18.6,-0.3,0.1,-0.1,-0.122,-10.6,2.3,-8.3,-0.1
Nassir Little,4,20,POR,13,2,10.8,1.7,3.1,0.55,0.8,1.4,0.611,0.8,1.7,0.5,0.688,0.6,0.7,0.889,0.8,1.2,2.0,0.2,0.2,0.3,0.5,0.8,4.8,16.3,0.7170000000000001,0.45,0.225,7.2,12.7,9.8,3.1,0.7,2.6,13.7,15.5,0.3,0.0,0.4,0.132,1.6,-2.0,-0.4,0.1
Kevin Love,4,32,CLE,2,2,23.0,3.0,9.0,0.33299999999999996,1.5,4.5,0.33299999999999996,1.5,4.5,0.33299999999999996,0.41700000000000004,2.0,2.5,0.8,1.0,5.0,6.0,2.5,0.5,0.0,1.5,0.5,9.5,11.2,0.47,0.5,0.278,4.7,25.0,14.5,16.0,1.1,0.0,12.9,21.7,0.0,0.0,0.0,0.006999999999999999,-1.2,-0.8,-2.1,0.0
Trey Lyles,4,25,SAS,14,2,11.8,1.3,2.6,0.5,0.3,1.1,0.267,1.0,1.5,0.667,0.556,0.6,1.1,0.6,0.5,2.6,3.1,0.5,0.0,0.0,0.0,0.4,3.5,11.6,0.575,0.41700000000000004,0.41700000000000004,4.3,23.2,13.5,5.6,0.0,0.0,0.0,11.1,0.3,0.1,0.4,0.11599999999999999,-0.5,-1.1,-1.6,0.0
Lauri Markkanen,4,23,CHI,14,14,30.4,6.8,13.2,0.514,2.9,7.2,0.396,3.9,6.0,0.655,0.622,2.7,3.2,0.8440000000000001,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1,17.2,0.654,0.546,0.243,2.1,19.7,11.1,4.3,1.0,1.0,10.5,22.8,0.6,0.4,1.0,0.11699999999999999,1.8,-1.4,0.3,0.3
Jaden McDaniels,4,20,MIN,23,1,18.7,2.0,5.1,0.39799999999999996,1.0,2.7,0.381,1.0,2.4,0.418,0.5,0.3,0.7,0.4,0.7,2.7,3.3,1.0,0.3,1.1,0.8,2.5,5.4,8.0,0.498,0.534,0.127,3.6,16.3,9.6,7.3,0.9,4.8,13.2,14.0,-0.2,0.4,0.1,0.013999999999999999,-4.5,-0.1,-4.6,-0.3
Doug McDermott,4,29,IND,28,8,26.2,5.1,10.1,0.511,1.5,4.3,0.355,3.6,5.8,0.627,0.5870000000000001,1.3,1.6,0.795,1.0,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1,13.8,0.607,0.429,0.156,4.3,12.8,8.6,7.7,0.5,0.2,9.1,19.6,0.9,0.4,1.4,0.08900000000000001,0.5,-2.2,-1.7,0.1
Nicolo Melli,4,30,NOP,13,0,10.5,0.6,2.2,0.28600000000000003,0.5,1.7,0.273,0.2,0.5,0.33299999999999996,0.39299999999999996,0.3,0.4,0.8,0.2,1.9,2.1,0.9,0.5,0.1,0.5,1.2,2.0,5.8,0.43,0.7859999999999999,0.179,1.6,20.3,10.9,10.7,2.1,0.8,16.6,11.3,-0.1,0.1,0.0,0.009000000000000001,-4.8,1.0,-3.8,-0.1
Paul Millsap,4,35,DEN,26,26,23.9,3.8,7.3,0.524,1.2,3.0,0.41,2.6,4.3,0.604,0.608,1.6,2.3,0.695,1.6,3.6,5.2,1.7,0.8,0.5,1.0,2.1,10.4,17.0,0.63,0.413,0.312,7.4,17.0,12.2,9.6,1.7,2.2,10.8,16.9,1.3,0.6,2.0,0.152,1.6,-0.7,0.9,0.5
Juwan Morgan,4,23,UTA,12,0,5.3,0.5,1.1,0.462,0.3,0.8,0.33299999999999996,0.3,0.3,0.75,0.5770000000000001,0.0,0.3,0.0,0.3,0.8,1.1,0.3,0.3,0.0,0.2,0.9,1.3,7.5,0.524,0.6920000000000001,0.231,5.2,15.8,10.8,6.2,2.3,0.0,12.3,10.9,0.0,0.1,0.1,0.092,-4.1,1.7,-2.4,0.0
