Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Damian Lillard,5,30,POR,27,27,35.9,9.2,20.4,0.451,4.1,10.8,0.384,5.1,9.6,0.527,0.5529999999999999,7.2,7.7,0.9329999999999999,0.5,3.9,4.4,7.7,1.1,0.3,3.1,1.6,29.8,27.1,0.625,0.529,0.379,1.4,12.2,6.5,36.2,1.5,0.7,11.7,32.2,4.2,0.3,4.5,0.225,7.7,-1.4,6.3,2.1
Kyle Lowry,5,34,TOR,25,25,34.4,6.0,13.2,0.452,2.8,7.1,0.38799999999999996,3.2,6.1,0.526,0.556,3.0,3.5,0.8740000000000001,0.8,4.6,5.4,6.4,1.2,0.2,2.9,3.2,17.7,16.3,0.601,0.539,0.264,2.4,15.5,8.7,28.1,1.6,0.5,16.4,21.9,1.5,0.7,2.2,0.124,1.3,-0.8,0.5,0.6
Theo Maledon,5,19,OKC,23,8,23.4,2.8,7.0,0.4,1.5,3.9,0.37799999999999995,1.3,3.0,0.429,0.506,0.7,1.0,0.708,0.2,2.5,2.7,2.8,1.0,0.0,1.8,2.2,7.8,8.2,0.525,0.563,0.15,1.0,10.9,6.0,17.3,2.0,0.2,19.4,17.0,-0.4,0.6,0.1,0.011000000000000001,-4.7,-0.5,-5.1,-0.4
Karim Mane,5,20,ORL,6,0,9.3,0.2,1.5,0.111,0.2,0.3,0.5,0.0,1.2,0.0,0.16699999999999998,0.7,0.7,1.0,0.0,1.7,1.7,0.2,0.0,0.2,0.5,0.5,1.2,-0.7,0.325,0.222,0.444,0.0,19.3,9.3,2.3,0.0,1.6,21.8,10.5,-0.1,0.0,-0.1,-0.085,-9.4,-2.0,-11.4,-0.1
Nico Mannion,5,19,GSW,6,0,6.0,0.5,2.2,0.231,0.3,1.5,0.222,0.2,0.7,0.25,0.308,0.2,0.7,0.25,0.0,1.3,1.3,2.0,0.3,0.0,0.3,0.8,1.5,7.8,0.305,0.6920000000000001,0.308,0.0,22.8,11.6,43.0,2.6,0.0,11.9,19.7,-0.1,0.1,0.0,-0.01,-5.4,0.7,-4.7,0.0
T.J. McConnell,5,28,IND,26,1,24.0,2.7,5.3,0.504,0.2,0.6,0.375,2.5,4.7,0.52,0.525,0.2,0.5,0.33299999999999996,0.7,2.7,3.3,6.6,1.7,0.4,1.7,1.6,5.8,15.2,0.52,0.115,0.086,3.2,12.0,7.7,36.3,3.5,1.4,23.8,13.2,0.6,0.9,1.5,0.11699999999999999,-0.4,2.0,1.7,0.6
Jordan McLaughlin,5,24,MIN,17,0,18.2,2.2,5.5,0.39399999999999996,0.5,1.4,0.375,1.6,4.1,0.4,0.441,0.4,0.5,0.778,0.5,1.7,2.2,4.6,1.0,0.2,1.2,0.8,5.3,13.1,0.45899999999999996,0.255,0.096,3.0,10.6,6.6,35.5,2.6,0.8,17.0,16.0,0.1,0.2,0.3,0.052000000000000005,-1.5,-0.4,-1.9,0.0
De'Anthony Melton,5,22,MEM,12,0,21.5,4.0,8.3,0.48,1.6,3.6,0.442,2.4,4.8,0.509,0.575,0.4,0.7,0.625,0.3,2.7,3.0,3.2,0.9,1.0,1.4,2.1,10.0,15.6,0.58,0.43,0.08,1.7,14.1,7.7,21.2,2.0,4.3,14.1,19.8,0.2,0.3,0.5,0.094,0.0,1.3,1.2,0.2
Patty Mills,5,32,SAS,27,0,25.4,4.7,10.5,0.449,2.6,6.5,0.4,2.1,4.0,0.528,0.5720000000000001,1.2,1.3,0.943,0.3,1.6,1.9,2.7,0.7,0.0,1.0,1.4,13.2,14.7,0.598,0.618,0.124,1.0,6.8,3.8,15.6,1.2,0.1,8.0,20.2,1.0,0.5,1.5,0.106,1.6,-1.5,0.1,0.4
Ja Morant,5,21,MEM,16,16,30.3,6.8,14.9,0.45799999999999996,0.8,3.3,0.25,6.0,11.6,0.516,0.485,4.3,5.4,0.802,0.8,2.3,3.1,8.3,0.9,0.3,3.2,1.4,18.8,18.7,0.544,0.218,0.361,2.7,8.7,5.6,41.6,1.4,0.8,15.6,28.7,0.6,0.3,0.9,0.09,1.9,-2.9,-1.0,0.1
