Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al-Farouq Aminu,PF,30,ORL,2,0,8,0.5,0.5,1,0.5,0.5,1,0,0,0,1.5,0,1,0,0.5,1.5,2,1,0,0,1,0,1.5
Kyle Anderson,PF,27,MEM,24,24,28.1,5,10.7,0.467,1.7,4.3,0.388,3.3,6.4,0.519,0.545,2.1,2.7,0.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8
Giannis Antetokounmpo,PF,26,MIL,27,27,33.6,10.3,18.4,0.563,1.1,4,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2
Kostas Antetokounmpo,PF,23,LAL,1,0,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,2,2,1,0
Thanasis Antetokounmpo,SF,28,MIL,18,0,8.3,0.9,1.4,0.654,0.1,0.4,0.286,0.8,1.1,0.789,0.692,0.2,0.4,0.571,0.7,1,1.7,0.8,0.3,0.2,0.8,1.4,2.2
Carmelo Anthony,PF,36,POR,27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.407,0.468,2.4,2.8,0.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3
Cole Anthony,PG,20,ORL,25,17,26.7,4,10.8,0.375,1.1,3.3,0.325,3,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2,2,11
OG Anunoby,SF,23,TOR,18,18,34.4,5.1,10.3,0.489,2.4,5.7,0.431,2.6,4.7,0.56,0.608,2,2.7,0.75,1.6,4.3,5.9,1.6,2,0.6,1.7,2.9,14.6
Ryan Arcidiacono,PG,26,CHI,11,0,9.7,0.8,2.2,0.375,0.5,1.5,0.375,0.3,0.7,0.375,0.5,0.4,0.5,0.8,0.1,1.9,2,1.5,0.3,0,0.2,0.9,2.5
D.J. Augustin,PG,33,MIL,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3,0.5,0,0.8,0.7,5.9
Deni Avdija,SF,20,WAS,22,16,22.9,2.5,6,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8
Deandre Ayton,C,22,PHO,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1,2.1,3.4,13.9
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,0.571,0,0,0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1
Dwayne Bacon,SG,25,ORL,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1,0.8,0.1,0.7,1.7,10.7
Marvin Bagley III,PF,21,SAC,25,25,24.9,5.1,10.8,0.476,1,2.8,0.371,4.1,8,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8
LaMelo Ball,PG,19,CHO,28,8,27.7,5.4,12.4,0.437,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6
Lonzo Ball,PG,23,NOP,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.543,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2,2.5,14
Mo Bamba,C,22,ORL,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8
Desmond Bane,SG,22,MEM,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3
Harrison Barnes,PF,28,SAC,27,27,35.1,5.3,11,0.48,1.7,4.3,0.388,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8
RJ Barrett,SG,20,NYK,30,30,33.7,6.2,14.6,0.428,1,3.4,0.304,5.2,11.2,0.466,0.463,3,4,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5
Will Barton,SF,30,DEN,25,21,29.8,4.4,10,0.436,1.6,4,0.404,2.8,6,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6
Keita Bates-Diop,SF,25,SAS,8,0,3.4,0,1.1,0,0,0.5,0,0,0.6,0,0,0.6,0.8,0.833,0.1,0.3,0.4,0.3,0.1,0,0,0,0.6
Nicolas Batum,SF,32,LAC,27,27,29.9,3.3,6.8,0.492,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1,1.1,0.867,0.9,4,4.9,2.3,1.4,0.4,0.7,1.7,9.7
Aron Baynes,C,34,TOR,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1,0.3,0.3,0.8,2.5,5.6
Kent Bazemore,SF,31,GSW,27,0,16.6,2.5,4.9,0.515,1,2.3,0.459,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1,2.2,7
Darius Bazley,PF,20,OKC,28,28,31.1,4.5,11.5,0.393,1.5,5.3,0.286,3,6.3,0.483,0.458,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1,12.2
Bradley Beal,SG,27,WAS,24,24,35.3,11.4,24,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8
Malik Beasley,SG,24,MIN,29,28,32.8,7.7,17,0.455,3.4,8.7,0.398,4.3,8.3,0.515,0.557,2,2.4,0.843,0.9,4,4.9,2.5,0.9,0.2,1.7,1.7,20.9
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5,0.333,0,0.7,0,1.7,4.3,0.385,0.333,0,0,0,1.7,3.7,5.3,1.7,0.3,1,1,1.3,3.3
DeAndre' Bembry,SF,26,TOR,19,0,13.7,1.7,2.8,0.611,0.4,0.7,0.5,1.4,2.1,0.65,0.676,0.3,0.6,0.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2
Davis Bertan,PF,28,WAS,23,3,25.8,3.3,8.8,0.381,3,7.8,0.378,0.4,1,0.409,0.55,1.9,2.3,0.827,0.4,2.7,3.1,1,0.7,0.3,0.6,2.5,11.5
Patrick Beverley,PG,32,LAC,20,20,24.2,2.7,6.2,0.435,1.8,4,0.443,1,2.3,0.422,0.577,1.1,1.5,0.759,1,3.2,4.2,2.2,1,0.8,0.8,3.4,8.3
Saddiq Bey,SF,21,DET,26,9,20.3,2.9,7,0.418,1.9,4.7,0.413,1,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1,0.5,0,0.7,1.3,9.2
Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,0.4,0,0,0,0.5,1.3,0.4,0.4,0.5,1,0.5,0.5,0.3,0.8,0,0,0.3,0,0.5,1.5
Khem Birch,C,28,ORL,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6,1.2,0.7,0.7,0.7,1.7,6.7
Goga Bitadze,C,21,IND,13,0,9.5,1.7,2.9,0.579,0.2,0.9,0.167,1.5,2,0.769,0.605,0.7,0.9,0.75,0.7,1.5,2.2,0.2,0.2,1.1,0.3,1.8,4.2
