Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kyle Kuzma,6,25,LAL,29,7,25.0,4.3,9.5,0.45299999999999996,1.7,4.6,0.361,2.7,4.9,0.5379999999999999,0.54,0.6,0.9,0.615,1.8,4.2,6.0,1.1,0.3,0.7,1.3,1.6,10.8,13.1,0.546,0.48200000000000004,0.094,8.2,18.4,13.4,6.6,0.6,2.2,11.4,19.5,0.3,1.2,1.5,0.098,0.0,-0.9,-0.9,0.2
Jake Layman,6,26,MIN,19,3,15.4,2.4,4.8,0.489,0.6,1.9,0.297,1.8,2.9,0.618,0.5489999999999999,0.9,1.2,0.7829999999999999,0.3,1.2,1.5,0.5,0.9,0.5,0.5,1.2,6.3,13.0,0.583,0.402,0.25,1.7,8.9,5.2,5.0,2.8,2.5,8.9,16.1,0.2,0.3,0.5,0.076,-2.3,0.3,-2.0,0.0
Kawhi Leonard,6,29,LAC,23,23,34.4,9.7,19.0,0.513,1.9,4.9,0.389,7.8,14.1,0.556,0.563,5.3,6.1,0.879,0.8,5.0,5.9,5.0,1.8,0.6,1.8,1.5,26.7,27.5,0.617,0.259,0.32,2.8,16.0,9.6,24.7,2.5,1.6,7.8,30.2,3.0,1.1,4.1,0.247,5.5,0.7,6.3,1.7
Timothe Luwawu-Cabarrot,6,25,BRK,30,5,19.7,2.6,6.4,0.40399999999999997,1.5,4.1,0.366,1.1,2.3,0.47100000000000003,0.521,0.6,0.8,0.75,0.6,1.8,2.4,1.3,0.6,0.2,0.7,1.6,7.3,9.8,0.5379999999999999,0.637,0.124,3.4,9.9,6.8,8.4,1.5,0.7,9.8,16.5,0.2,0.3,0.5,0.042,-1.7,-1.6,-3.3,-0.2
Naji Marshall,6,23,NOP,3,0,2.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.5,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.3,-0.4,0.174,0.5,1.0,0.0,27.8,13.9,14.3,0.0,0.0,0.0,15.3,0.0,0.0,0.0,-0.151,-7.0,-3.0,-10.0,0.0
Caleb Martin,6,25,CHO,23,1,15.8,2.2,5.2,0.42,0.7,2.2,0.3,1.5,3.0,0.507,0.483,0.6,1.1,0.56,0.8,2.0,2.8,1.3,0.9,0.3,0.7,1.1,5.6,11.9,0.496,0.42,0.21,5.5,13.4,9.4,11.3,2.7,1.9,11.0,17.1,0.0,0.4,0.4,0.057999999999999996,-1.6,0.0,-1.6,0.0
Cody Martin,6,25,CHO,17,0,9.4,1.2,2.2,0.526,0.2,0.8,0.231,1.0,1.5,0.68,0.5660000000000001,0.5,0.6,0.8,0.6,1.4,2.0,0.9,0.4,0.0,0.5,0.5,3.0,13.5,0.601,0.342,0.263,6.6,16.4,11.4,13.9,2.1,0.0,17.5,13.7,0.2,0.2,0.3,0.105,-1.0,0.2,-0.7,0.1
Kelan Martin,6,25,IND,11,0,3.9,0.5,1.6,0.33299999999999996,0.2,0.7,0.25,0.4,0.9,0.4,0.389,0.0,0.0,0.0,0.1,0.9,1.0,0.0,0.2,0.0,0.4,0.4,1.3,1.4,0.389,0.444,0.0,2.6,25.3,14.1,0.0,2.2,0.0,18.2,22.2,-0.2,0.1,-0.1,-0.153,-8.6,-1.9,-10.5,-0.1
Kenyon Martin Jr.,6,20,HOU,7,0,9.9,1.4,3.9,0.37,0.1,0.6,0.25,1.3,3.3,0.391,0.389,0.3,0.7,0.4,1.1,1.6,2.7,0.6,0.3,0.7,0.7,1.3,3.3,9.1,0.39399999999999996,0.14800000000000002,0.185,12.1,17.1,14.6,8.6,1.4,6.2,14.6,21.1,-0.2,0.1,0.0,-0.027000000000000003,-5.9,-0.6,-6.5,-0.1
Jalen McDaniels,6,23,CHO,10,0,10.8,1.6,3.3,0.485,0.2,0.9,0.222,1.4,2.4,0.583,0.515,0.7,1.1,0.636,0.4,1.7,2.1,0.6,0.2,0.0,0.9,1.5,4.1,7.2,0.542,0.273,0.33299999999999996,3.9,17.1,10.4,7.9,0.9,0.0,19.2,18.4,-0.1,0.1,0.0,-0.004,-5.0,-2.2,-7.2,-0.1
Sean McDermott,6,24,MEM,6,0,15.3,1.2,2.5,0.467,0.7,1.8,0.364,0.5,0.7,0.75,0.6,0.7,0.7,1.0,0.5,0.8,1.3,0.5,0.2,0.2,0.5,0.7,3.7,7.6,0.6559999999999999,0.733,0.267,3.5,6.2,4.8,4.0,0.5,1.0,15.2,9.1,0.1,0.0,0.1,0.059000000000000004,-2.5,-2.2,-4.7,-0.1
Alfonzo McKinnie,6,28,LAL,14,0,3.1,0.7,1.1,0.625,0.2,0.4,0.6,0.5,0.8,0.636,0.7190000000000001,0.1,0.3,0.5,0.4,0.4,0.9,0.1,0.1,0.0,0.1,0.3,1.8,22.7,0.7040000000000001,0.313,0.25,15.8,14.7,15.3,3.5,1.1,0.0,5.3,18.5,0.2,0.1,0.2,0.254,4.6,-1.2,3.4,0.1
Khris Middleton,6,29,MIL,28,28,33.0,7.5,14.6,0.51,2.4,5.5,0.442,5.0,9.1,0.551,0.593,3.0,3.3,0.902,0.7,5.1,5.8,5.8,1.0,0.1,2.5,2.8,20.3,20.1,0.632,0.376,0.22399999999999998,2.4,16.0,9.3,24.8,1.5,0.4,13.6,23.7,2.5,0.9,3.4,0.177,3.5,-0.6,3.0,1.2
